0
elastic_net_JSD,0.6419011134893416
elastic_net_WST,0.0021570744990125163
elastic_net_BC,0.7663433075744693
elastic_net_Bhatt,0.9702745624607853
gpr_JSD,0.5116380451747903
gpr_WST,0.0018129635391251717
gpr_BC,0.5541477027496412
gpr_Bhatt,0.5370968627126822
knn_JSD,0.5141551901859707
knn_WST,0.0019454208146716782
knn_BC,0.5696423107608316
knn_Bhatt,0.5566951862817561
linear_regression_JSD,inf
linear_regression_WST,357288021499.2793
linear_regression_BC,9.863279359974516
linear_regression_Bhatt,inf
mean_errors_over_algorithms_0,inf
random_forest_JSD,0.5067291200215044
random_forest_WST,0.0016926330532778067
random_forest_BC,0.5572736060157285
random_forest_Bhatt,0.5617629090567823
